"Page","State","DnaImports","UiImports","UiImportList","RawInput","RawSelect","RawTextarea","RawTable","RawInputDate","DnaDataTableCard","DnaPageHeader","DnaKpiGrid","DnaCell","DnaSearchableSelect","DnaDatePicker","DnaNumberInput","DnaCurrencyInput","DnaConfirmDialog","UseDnaToast","DnaModal","DnaToolbar","DnaSelect","DnaInput","DnaBadge","DnaTabNav","DnaTable","BadgeBugCount","BadgeBugLines","DashboardCard","Rounded24","BorderColorVar","Score"
"approvals\goods-request\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","6"
"approvals\purchase\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","6"
"approvals\purchase-request\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","6"
"approvals\purchase-return\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","6"
"approvals\request-cogs\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","6"
"approvals\sales\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","6"
"approvals\sales-return\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","6"
"approvals\sales-sample\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","6"
"automation\page.tsx","DNA","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","5","182,225,229,233,237","6","0","0","16"
"bussdev\client-manager\page.tsx","DNA","1","0","","0","1","0","3","0","7","2","4","3","0","0","0","0","0","2","5","0","0","2","0","0","0","0","","0","0","0","21"
"bussdev\down-payment\page.tsx","DNA","1","0","","0","1","1","1","0","3","2","2","6","0","0","0","0","0","2","5","0","0","6","0","0","0","0","","0","0","0","23"
"bussdev\guest-book\page.tsx","DNA","1","0","","9","2","0","1","2","3","2","3","0","0","0","0","0","0","2","3","0","0","0","3","0","0","0","","0","0","0","4"
"bussdev\intake\page.tsx","DNA","1","0","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","3","0","0","0","","0","0","0","10"
"bussdev\lost\page.tsx","DNA","1","0","","0","0","0","2","0","6","3","3","14","0","0","0","0","0","2","6","0","0","2","0","0","0","0","","0","0","0","34"
"bussdev\my-performance\page.tsx","NONE","0","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","3","0","-1"
"bussdev\pipeline\page.tsx","NONE","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"bussdev\retention-engine\page.tsx","NONE","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"bussdev\retur-penjualan\page.tsx","DNA","1","0","","0","2","1","1","0","3","2","2","7","0","0","0","0","0","2","5","0","0","7","0","0","0","0","","0","0","0","24"
"bussdev\sales-orders\page.tsx","DNA","1","0","","4","3","0","2","4","4","3","3","9","0","0","0","0","0","2","6","0","0","8","0","0","0","0","","0","0","0","26"
"bussdev\sales-target\page.tsx","DNA","1","0","","0","3","1","1","0","3","2","2","5","0","0","0","0","0","2","5","0","0","5","0","0","0","0","","0","0","0","19"
"bussdev\sample-sales\page.tsx","DNA","1","0","","0","0","1","1","0","3","2","2","7","0","0","0","0","0","2","5","0","0","12","0","0","0","0","","0","0","0","31"
"bussdev\sample-sales\input\page.tsx","DNA","1","0","","0","0","1","0","1","0","2","0","0","0","0","0","0","0","2","0","0","0","12","0","0","0","0","","0","0","0","15"
"bussdev\sample-tracking\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","0","1","224","0","0","0","7"
"checklist\page.tsx","DNA","1","0","","1","2","0","1","0","7","2","0","3","0","0","0","0","1","2","7","0","1","13","13","1","14","4","342,460,569,654","0","0","0","60"
"creative\board\page.tsx","NONE","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"design\artwork-approval\page.tsx","DNA","1","0","","0","3","0","0","1","0","2","3","0","0","0","0","0","0","0","5","0","0","13","35","2","16","12","593,773,834,836,838,896,898,1181,1183,1185,1187,1189","0","0","0","73"
"document-center\page.tsx","MIXED","1","2","from ""@/components/ui/table""; from ""@/components/ui/dialog""","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","0","0","","0","0","0","1"
"documents\drafts\page.tsx","MIXED","1","2","from ""@/components/ui/table""; from ""@/components/ui/dialog""","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","","0","0","0","0"
"executive\audit\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","3"
"executive\notifications\page.tsx","DNA","1","0","","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","","0","2","2","3"
"finance\accounting\auto-journal\page.tsx","DNA","1","0","","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","1","232","0","0","0","5"
"finance\accounting\coa\page.tsx","DNA","1","0","","2","0","0","1","0","4","3","3","15","0","0","0","0","2","2","6","0","5","3","0","0","0","0","","0","0","0","40"
"finance\actual-costing\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","94","0","0","0","3"
"finance\ap-aging\page.tsx","DNA","1","0","","3","1","0","1","2","3","2","3","0","0","0","0","0","0","2","3","0","0","0","5","0","0","0","","0","0","0","13"
"finance\approvals\page.tsx","MIXED","1","1","from ""@/components/ui/table""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","0","0","4","71,73,75,187","0","0","0","12"
"finance\ar-hub\page.tsx","MIXED","1","2","from ""@/components/ui/table""; from ""@/components/ui/tabs""","0","0","1","0","1","1","2","3","0","0","0","0","0","0","0","0","0","3","4","7","0","0","0","","0","0","0","17"
"finance\assets\page.tsx","DNA","1","0","","8","2","0","2","1","3","2","3","0","0","0","0","0","0","2","5","0","0","0","3","0","0","0","","0","0","0","6"
"finance\bank-accounts\page.tsx","DNA","1","0","","0","1","0","1","0","3","2","3","2","0","0","0","2","0","0","0","0","1","4","5","0","0","0","","0","0","0","20"
"finance\bank-reconciliation\page.tsx","DNA","1","0","","2","1","0","2","2","5","2","3","0","0","0","0","0","0","2","3","0","0","0","9","0","0","0","","0","0","0","19"
"finance\bayar\page.tsx","MIXED","1","2","from ""@/components/ui/tabs""; from ""@/components/ui/table""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","0","0","0","","0","0","0","9"
"finance\bayar-pembelian\page.tsx","DNA","1","0","","4","1","1","1","1","3","2","3","0","0","0","0","0","0","2","3","0","0","0","3","2","0","0","","0","0","0","11"
"finance\bayar-penjualan\page.tsx","DNA","1","0","","0","1","1","1","1","3","2","2","4","0","0","0","0","0","2","3","0","0","6","0","0","0","0","","0","0","0","19"
"finance\bayar-sample\page.tsx","MIXED","1","4","from ""@/components/ui/table""; from ""@/components/ui/dialog""; from ""@/components/ui/select""; from ""@/components/ui/label""","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","","0","0","0","1"
"finance\bills\page.tsx","MIXED","1","3","from ""@/components/ui/table""; from ""@/components/ui/dialog""; from ""@/components/ui/select""","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","0","0","0","","0","0","0","6"
"finance\budget\page.tsx","DNA","1","0","","0","0","0","1","0","3","2","3","1","0","0","0","1","0","0","0","0","0","1","3","0","0","0","","0","0","0","13"
"finance\cash-in\page.tsx","DNA","1","0","","8","2","0","1","3","3","2","3","0","0","0","0","0","0","2","5","0","0","0","5","0","0","0","","0","0","0","9"
"finance\cash-out\page.tsx","DNA","1","0","","9","2","0","1","3","3","2","3","0","0","0","0","0","0","2","5","0","0","0","5","0","0","0","","0","0","0","8"
"finance\client-escrow\page.tsx","DNA","1","0","","1","2","0","1","0","3","2","3","0","0","0","0","0","0","2","3","0","0","0","5","0","0","0","","0","0","0","14"
"finance\closing\page.tsx","DNA","1","0","","1","1","0","1","0","3","2","3","0","0","0","0","0","0","2","3","0","0","0","5","0","0","0","","0","0","0","15"
"finance\cogs-request\page.tsx","MIXED","1","1","from ""@/components/ui/table""","0","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","9","0","0","3","222,354,389","0","0","1","7"
"finance\collections\page.tsx","DNA","1","0","","0","0","0","1","0","3","2","3","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","12"
"finance\compliance-asset\page.tsx","DNA","1","0","","0","0","0","1","0","3","2","3","2","0","0","0","1","0","0","0","0","0","1","5","0","0","0","","0","0","0","16"
"finance\cost-variance\page.tsx","DNA","1","0","","0","0","0","1","0","3","2","3","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","12"
