web_scraper_order,web_scraper_start_url,pagination,kode,barang,harga_beli,data,sub_kategori,kategori,satuan,barang2
"1788654371-1","https://kil.gserp.id/goods-manage","","BBK00001","Hydro Marine Collagen","1,650.00","1","Active","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-2","https://kil.gserp.id/goods-manage","","BBK00002","IPM","125.00","2","Base","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-3","https://kil.gserp.id/goods-manage","","BBK00003","Niacinamide","142.30","3","Active","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-4","https://kil.gserp.id/goods-manage","","BBK00004","Secret Water","850.00","4","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-5","https://kil.gserp.id/goods-manage","","BBK00005","TR-3TS","401.40","5","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-6","https://kil.gserp.id/goods-manage","","BBK00006","Centella Asiatica Extract","260.00","6","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-7","https://kil.gserp.id/goods-manage","","BBK00007","Eggplant Extract","567.00","7","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-8","https://kil.gserp.id/goods-manage","","BBK00008","Gmoist Sea Gel","600.00","8","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-9","https://kil.gserp.id/goods-manage","","BBK00009","Gioactive F-1000","420.00","9","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-10","https://kil.gserp.id/goods-manage","","BBK00010","Alpha Arbutin","1,500.00","10","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-11","https://kil.gserp.id/goods-manage","","BBK00011","Aluminium Sulfat (Tawas)","5.00","11","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
