web_scraper_order,web_scraper_start_url,pagination,gudang,telepon,data,lokasi
"1788652236-1","https://kil.gserp.id/warehouse-manage","","Gudang Bahan Baku","0895341099232 (Ghufron Dreamlab)","1","Kab. Pasuruan"
"1788652236-2","https://kil.gserp.id/warehouse-manage","","Gudang Kemasan","(+62) 895-3410-99232 (Ghufron Dreamlab)","2","Kab. Sidoarjo"
"1788652236-3","https://kil.gserp.id/warehouse-manage","","Gudang Barang Jadi","081234567893","3","Kab. Sidoarjo"
"1788652236-4","https://kil.gserp.id/warehouse-manage","","Gudang Surabaya","081234567894","4","Kab. Sidoarjo"
"1788652236-5","https://kil.gserp.id/warehouse-manage","","Gudang Laboratorium","081234567895","5","Kab. Sidoarjo"
"1788652236-6","https://kil.gserp.id/warehouse-manage","","Gudang Produksi Mixing","081234567896","6","Kab. Sidoarjo"
"1788652236-7","https://kil.gserp.id/warehouse-manage","","Gudang Produksi Filling","081234567897","7","Kab. Sidoarjo"
"1788652236-8","https://kil.gserp.id/warehouse-manage","","Gudang Produksi Packaging","081234567898","8","Kab. Sidoarjo"
"1788652236-9","https://kil.gserp.id/warehouse-manage","","Gudang Barang Setengah Jadi","081231418159","9","Kab. Pasuruan"
"1788652236-10","https://kil.gserp.id/warehouse-manage","","Gudang Sekunder","081231418159","10","Kota Surabaya"
"1788652236-11","https://kil.gserp.id/warehouse-manage","","Gudang Bahan Baku (Client)","-","11","Kab. Pasuruan"
"1788652236-12","https://kil.gserp.id/warehouse-manage","","Gudang Kemasan (Client)","-","12","Kab. Pasuruan"
"1788652236-13","https://kil.gserp.id/warehouse-manage","","Gudang Sekunder (Client)","-","13","Kab. Pasuruan"
"1788652236-14","https://kil.gserp.id/warehouse-manage","","Gudang Reject","-","14","Kab. Pasuruan"
"1788652236-15","https://kil.gserp.id/warehouse-manage","","Gudang Supplier","-","15","Kota Surabaya"
"1788652236-16","https://kil.gserp.id/warehouse-manage","","Gudang Sample","-","16","Kab. Pasuruan"
