
Name                                                      MigrationFiles
----                                                      --------------
20260430122705_phase1                                                  1
20260430123412_phase2_hpp_integrity                                    1
20260720_add_mkt_proto_tables                                          1
20260721_add_rnd_tasks_and_projects                                    1
20260822080000_r4_fix_legacy_leadstatus_unused_enum                    1
20260822081953_lead_attribution_journey                                1
20260822085000_r4_fix_formulas_id_to_uuid                              1
20260822085000_r4_fix_text_id_columns_to_uuid                          1
20260822086000_r4_create_missing_goods_requirement_tables              1
20260822095959_marketing_batch3_placeholder_repair                     1
20260822100000_batch3_so_formula_pinning                               1
20260822110000_batch3_legal_applicability                              1
20260822120000_regulatory_pipeline_unique                              1
20260823090000_batch4_requirement_procurement_lineage                  1
20260823093000_batch5_receiving_inventory_integrity                    1
20260823130000_batch5_requisition_issue_return                         1
20260823150000_batch6_production_qc_finished_flow                      1
20260823170000_batch7_finance_lineage                                  1
20260823200000_r4_create_self_qr_devices                               1
20260824090000_marketing_sales_roster_alignment                        1
20260824200000_r2_shipment_lot_lineage                                 1
20260825090000_r4_prodlight_to_canonical                               1
20260902120000_phase2_marketing_command                                1
20260902140000_add_director_user_role                                  1
20260902150000_zaki_director_role                                      1
20260902180000_lead_captures_kommo_columns                             1
20260902200000_omni_crm_state                                          1
20260902210000_marketing_tasks                                         1
20260902220000_omni_crm_and_tasks                                      1
20260904120000_marketing_management_tasks_full                         1
20260908230000_fix_marketing_tasks_columns                             1
20260909033000_add_marketing_task_owner_id                             1
20260909034500_align_management_task_runtime_schema                    1
20260909060000_add_social_tracker_tables                               1
20260910150000_marketing_task_social_foundation                        1
add_assigned_phone                                                     1



