"screenId","area","page","nexerpRoute","type","moduleId","cardCount","colCount","inputCount"
"SCR-001","Dasbor BusDev","D. Buku Tamu","/bussdev/dashboard-guest-book","Dashboard","MOD-02","4","12","1"
"SCR-002","Dasbor Departemen","D. BusDev","/bussdev/dashboard-business-development","Dashboard","MOD-02","1","20","2"
"SCR-003","Dasbor BusDev","D. Client Produksi","/bussdev/dashboard-client-production","Dashboard","MOD-02","4","27","1"
"SCR-004","Dasbor BusDev","D. Client RO","/bussdev/dashboard-client-repeat-order","Dashboard","MOD-02","1","27","2"
"SCR-005","Dasbor BusDev","D. Client Sample","/bussdev/dashboard-client-sample","Dashboard","MOD-02","6","22","1"
"SCR-006","Dasbor Departemen","D. Digital Marketing","/executive/dashboard-digital-marketing","Dashboard","MOD-12","4","4","1"
"SCR-007","Dasbor Eksekutif","D. Eksekutif","/executive/dashboard-executive","Dashboard","MOD-12","6","0","1"
"SCR-008","Dasbor Departemen","D. Gudang","/executive/dashboard-warehouse","Dashboard","MOD-12","4","8","1"
"SCR-009","Dasbor Departemen","D. HR","/executive/dashboard-human-resources","Dashboard","MOD-12","0","0","0"
"SCR-010","Dasbor","D. Jadwal Produksi","/executive/dashboard-production-schedule","Dashboard","MOD-12","0","14","1"
"SCR-011","Dasbor Departemen","Finance Overview (Dashboard)","/executive/dashboard-finance","Dashboard","MOD-12","1","2","2"
"SCR-012","Dasbor Departemen","D. Legalitas","/executive/dashboard-legality","Dashboard","MOD-12","4","5","1"
"SCR-013","Dasbor BusDev","D. Lost","/bussdev/dashboard-client-lost","Dashboard","MOD-02","2","14","2"
"SCR-014","Dasbor Eksekutif","D. Notifikasi","/executive/dashboard-notification","Dashboard","MOD-12","4","0","1"
"SCR-015","Dasbor","D. Pelanggan","/executive/dashboard-customer","Dashboard","MOD-12","8","16","1"
"SCR-016","Dasbor","D. Penjualan Barang","/executive/dashboard-sales-product","Dashboard","MOD-12","8","7","1"
