# UUID_CONVERSION_ALLOWLIST

Generated from canonical Prisma schema. Each entry: Prisma model, table (per @@map or default snake_case), column declared @db.Uuid.
Total entries: 377

| Prisma model | Table | Column | File |
|---|---|---|---|
| AccountHealthLog | account_health_logs | id | marketing.prisma |
| Account | accounts | id | finance.prisma |
| Account | accounts | parentId | finance.prisma |
| Account | accounts | reclassifyToAccountId | finance.prisma |
| ActivityStream | activity_streams | id | bussdev.prisma |
| ActivityStream | activity_streams | leadId | bussdev.prisma |
| Article | articles | id | website.prisma |
| ArtworkReview | artwork_reviews | approvedById | legal.prisma |
| ArtworkReview | artwork_reviews | designerPicId | legal.prisma |
| ArtworkReview | artwork_reviews | id | legal.prisma |
| ArtworkReview | artwork_reviews | pipelineId | legal.prisma |
| Attendance | attendances | employeeId | hr.prisma |
| Attendance | attendances | id | hr.prisma |
| AuditEscalation | audit_escalations | approvedById | qc.prisma |
| AuditEscalation | audit_escalations | id | qc.prisma |
| AuditEscalation | audit_escalations | planId | qc.prisma |
| AutoApproveConfig | auto_approve_configs | id | system.prisma |
| AutoJournalConfig | auto_journal_configs | coaCreditId | finance.prisma |
| AutoJournalConfig | auto_journal_configs | coaDebetId | finance.prisma |
| BillOfMaterial | bill_of_materials | id | rnd.prisma |
| BillOfMaterial | bill_of_materials | materialId | rnd.prisma |
| BillOfMaterial | bill_of_materials | sampleId | rnd.prisma |
| BpomRecord | bpom_records | id | legal.prisma |
| BpomRecord | bpom_records | picId | legal.prisma |
| BussdevStaff | bussdev_staffs | id | bussdev.prisma |
| BussdevStaff | bussdev_staffs | userId | bussdev.prisma |
| ContentAsset | content_assets | id | marketing.prisma |
| COPQRecord | copq_records | id | qc.prisma |
| COPQRecord | copq_records | journalEntryId | qc.prisma |
| COPQRecord | copq_records | planId | qc.prisma |
| COPQRecord | copq_records | qcAuditId | qc.prisma |
| DailyAdsMetric | daily_ads_metrics | auditedById | marketing.prisma |
| DailyAdsMetric | daily_ads_metrics | id | marketing.prisma |
| DeliveryOrder | delivery_orders | id | production.prisma |
| DeliveryOrder | delivery_orders | workOrderId | production.prisma |
| DesignFeedback | design_feedbacks | authorId | creative.prisma |
| DesignFeedback | design_feedbacks | id | creative.prisma |
| DesignFeedback | design_feedbacks | taskId | creative.prisma |
| DesignTask | design_tasks | id | creative.prisma |
| DesignTask | design_tasks | leadId | creative.prisma |
| DesignTask | design_tasks | soId | creative.prisma |
| DesignVersion | design_versions | id | creative.prisma |
| DesignVersion | design_versions | taskId | creative.prisma |
| DesignVersion | design_versions | uploadedBy | creative.prisma |
| DocumentDraft | document_drafts | approvedById | document-automation.prisma |
| DocumentDraft | document_drafts | createdById | document-automation.prisma |
| DocumentDraft | document_drafts | id | document-automation.prisma |
| DocumentDraft | document_drafts | rejectedById | document-automation.prisma |
| DocumentDraft | document_drafts | sourceId | document-automation.prisma |
| EmployeeRoleMapping | employee_role_mappings | employeeId | hr.prisma |
| EmployeeRoleMapping | employee_role_mappings | id | hr.prisma |
| Employee | employees | id | hr.prisma |
| Employee | employees | managerId | hr.prisma |
| Employee | employees | userId | hr.prisma |
| ErrorLog | error_logs | id | system.prisma |
| FinancialPeriod | financial_periods | id | finance.prisma |
| FinancialSummaryLedger | financial_summary_ledger | id | finance.prisma |
| FinancialSummaryLedger | financial_summary_ledger | periodId | finance.prisma |
| FinishedGood | finished_goods | formulaId | production.prisma |
| FinishedGood | finished_goods | id | production.prisma |
| FinishedGood | finished_goods | woId | production.prisma |
| FormulaItem | formula_items | id | rnd.prisma |
| FormulaItem | formula_items | materialId | rnd.prisma |
| FormulaItem | formula_items | phaseId | rnd.prisma |
| FormulaPhase | formula_phases | formulaId | rnd.prisma |
| FormulaPhase | formula_phases | id | rnd.prisma |
| Formula | formulas | id | rnd.prisma |
| Formula | formulas | lockedById | rnd.prisma |
| Formula | formulas | sampleRequestId | rnd.prisma |
| FundRequest | fund_requests | approvedById | finance.prisma |
| FundRequest | fund_requests | disbursedById | finance.prisma |
| FundRequest | fund_requests | id | finance.prisma |
| FundRequest | fund_requests | requesterId | finance.prisma |
| GoodsRequirementItem | goods_requirement_items | id | scm.prisma |
| GoodsRequirementItem | goods_requirement_items | materialId | scm.prisma |
| GoodsRequirementItem | goods_requirement_items | requirementId | scm.prisma |
| GoodsRequirement | goods_requirements | createdById | scm.prisma |
| GoodsRequirement | goods_requirements | formulaId | scm.prisma |
| GoodsRequirement | goods_requirements | id | scm.prisma |
| GoodsRequirement | goods_requirements | salesOrderId | scm.prisma |
